Trial,Fast,Slow,CAGR,Sharpe,Drawdown,Returns
74,10,124,0.08,0.88,-0.18,1.683142884775421
72,10,122,0.07,0.86,-0.18,1.6588990067910516
73,10,123,0.07,0.86,-0.18,1.6588990067910516
147,11,122,0.07,0.85,-0.18,1.655295668021689
149,11,124,0.07,0.85,-0.19,1.6499119735100025
290,13,115,0.07,0.84,-0.18,1.6488765020356702
289,13,114,0.07,0.84,-0.18,1.6488765020356702
148,11,123,0.07,0.84,-0.19,1.6416398030431765
71,10,121,0.07,0.84,-0.18,1.641212533615679
139,11,114,0.07,0.84,-0.18,1.640797692546372
140,11,115,0.07,0.84,-0.18,1.6400837902076573
275,13,100,0.07,0.83,-0.16,1.632662457298419
146,11,121,0.07,0.83,-0.19,1.6309095966366505
135,11,110,0.07,0.83,-0.19,1.626208497879594
142,11,117,0.07,0.83,-0.19,1.6251303319444956
136,11,111,0.07,0.82,-0.19,1.6225581521883716
55,10,105,0.07,0.83,-0.19,1.6222697988635961
141,11,116,0.07,0.82,-0.19,1.622234118586966
138,11,113,0.07,0.82,-0.19,1.6213182882200112
137,11,112,0.07,0.82,-0.19,1.6208934422806354
288,13,113,0.07,0.81,-0.19,1.620854014456143
143,11,118,0.07,0.82,-0.2,1.617784971001687
1,10,51,0.07,0.8,-0.13,1.6169580153664542
70,10,120,0.07,0.82,-0.18,1.614284088640679
69,10,119,0.07,0.82,-0.18,1.614284088640679
52,10,102,0.07,0.83,-0.19,1.6128885357968568
274,13,99,0.07,0.81,-0.17,1.6124993241104144
145,11,120,0.07,0.81,-0.19,1.6113266304208778
144,11,119,0.07,0.81,-0.19,1.6113266304208778
292,13,117,0.07,0.8,-0.18,1.6107813880170838
134,11,109,0.07,0.81,-0.19,1.607243338880321
291,13,116,0.07,0.79,-0.18,1.6062460121637905
54,10,104,0.07,0.82,-0.19,1.6060607909154574
220,12,120,0.07,0.79,-0.18,1.6036971313450255
63,10,113,0.07,0.81,-0.19,1.6017622868684258
198,12,98,0.07,0.79,-0.15,1.6009066936830096
214,12,114,0.07,0.79,-0.19,1.6003393752588513
210,12,110,0.07,0.8,-0.21,1.600076647334482
66,10,116,0.07,0.81,-0.2,1.598627581431782
103,11,78,0.07,0.8,-0.16,1.5939879366652714
51,10,101,0.07,0.81,-0.19,1.592865229061303
221,12,121,0.07,0.78,-0.18,1.5919128123765949
222,12,122,0.07,0.78,-0.18,1.5919128123765949
174,12,74,0.06,0.79,-0.13,1.5917890582317344
273,13,98,0.07,0.78,-0.17,1.5900876356124343
105,11,80,0.07,0.8,-0.14,1.5895000390017882
68,10,118,0.07,0.79,-0.2,1.5887977420668715
